"Fuel.Type.Code","Latitude","Longitude"
"ELEC",40.7629395,-74.0762634
"ELEC",39.8655548,-74.9537735
"ELEC",39.4760704,-119.7933197
"ELEC",40.7238159,-73.8494797
"ELEC",40.7778702,-73.9571915
"ELEC",40.734314,-74.0019531
"ELEC",40.7444153,-73.9754868
"ELEC",41.5887909,-95.0595016
"ELEC",41.94629288,-87.69982
"ELEC",41.75497055,-87.71321
"ELEC",41.8995404,-87.6244712
"ELEC",42.0086626,-87.8992596
"ELEC",40.5076378,-88.9830706
"ELEC",40.5112572,-88.98581
"ELEC",39.79628,-89.6504
"ELEC",39.70909,-86.3894
"ELEC",39.0367622,-94.6379623
"ELEC",30.1987038,-93.2123184
"ELEC",38.9822044,-76.9461288
"ELEC",39.0147719,-76.9199905
"ELEC",38.9882507,-76.9455338
"ELEC",38.9898224,-76.9410324
"ELEC",38.9913406,-76.9487762
"ELEC",42.2444992,-84.7466049
"ELEC",42.2879816,-85.5997776
"ELEC",42.2837715,-85.6131821
"ELEC",42.2545967,-85.6401672
"ELEC",42.9334908,-85.3407593
"ELEC",43.1652298,-86.2635498
"ELEC",44.8544388,-93.2449799
"ELEC",44.8543221,-93.2426497
"ELEC",44.0217667,-92.4618683
"ELEC",44.9466324,-93.0914612
"ELEC",44.95121,-92.9952
"ELEC",35.227077,-80.8495179
"ELEC",35.22718,-80.8503
"ELEC",37.7665863,-122.2427979
"ELEC",33.69067,-117.887952
"ELEC",33.6932675,-117.8835257
"ELEC",33.6907819,-117.8814399
"ELEC",38.6434709,-121.1476939
"ELEC",33.88449,-117.8896629
"ELEC",37.3832817,-122.138382
"ELEC",37.377491,-122.1471863
"ELEC",34.0608006,-118.4147532
"ELEC",34.0621924,-118.1736142
"ELEC",38.3213348,-122.3102722
"ELEC",33.6153956,-117.8765964
"ELEC",37.3988,-122.146
"ELEC",38.0314217,-121.8837891
"ELEC",38.0199653,-121.891575
"ELEC",37.7112763,-122.2134336
"ELEC",37.7894677,-122.4029354
"ELEC",37.7515068,-122.3904114
"ELEC",37.3308497,-121.8933653
"ELEC",37.32678986,-122.0004196
"ELEC",36.9739874,-122.0277209
"ELEC",34.0160161,-118.4953392
"ELEC",37.6561826,-122.4111942
"ELEC",25.9569405,-80.1430777
"ELEC",28.5482235,-81.723053
"ELEC",26.3156242,-80.07827
"ELEC",28.8540115,-81.6846619
"ELEC",28.853466,-81.683876
"ELEC",47.7617782,-122.1914634
"ELEC",47.7413216,-121.9840469
"ELEC",48.0102675,-122.5258216
"ELEC",47.6790971,-122.1310282
"ELEC",47.615626,-122.205745
"ELEC",47.6164098,-122.2012735
"ELEC",47.6180555,-122.2004802
"ELEC",47.672656,-122.098808
"ELEC",47.7450829,-121.0892868
"ELEC",47.7337759,-122.1464725
"ELEC",42.6727905,-88.2556
"ELEC",43.0114059,-89.4590683
"ELEC",40.755609,-73.9825901
"ELEC",40.7535973,-73.8235931
"ELEC",40.7133751,-73.8314514
"ELEC",40.9032745,-73.1341248
"ELEC",45.52934647,-122.6556625
"ELEC",30.2648963,-97.747196
"ELEC",30.2606481,-97.7529016
"ELEC",30.2660703,-97.7691348
"ELEC",33.6697807,-96.611702
"ELEC",39.0002708,-78.3451233
"ELEC",47.6173835,-122.204394
"ELEC",43.096628,-89.5000108
"ELEC",43.0443401,-87.9198875
"ELEC",35.7783447,-78.6421073
"ELEC",35.7743627,-78.6429442
"ELEC",37.9587847,-91.7807659
"ELEC",30.206811,-97.06534
"ELEC",37.4875504,-122.2272435
"ELEC",42.9993864,-71.4679286
"ELEC",39.1458,-123.198497
"ELEC",34.749027,-82.279874
"ELEC",36.9105794,-80.3173853
"ELEC",39.7408399,-105.1685277
"ELEC",37.551409,-77.45233
"ELEC",37.543387,-77.42953
"ELEC",44.6233308,-93.7572598
"ELEC",44.5677397,-92.6248225
"ELEC",44.842694,-93.53986
"ELEC",44.1789113,-94.0356961
"ELEC",44.3149037,-93.9640592
"ELEC",45.2192833,-93.3102996
"ELEC",39.4307359,-76.6232741
"ELEC",36.010202,-84.268102
"ELEC",36.2796701,-88.3039521
"ELEC",35.558666,-86.448551
"ELEC",32.408654,-99.771637
"ELEC",35.15933,-101.94
"ELEC",32.6771365,-97.0887278
"ELEC",30.3742325,-97.7324449
"ELEC",29.806862,-94.9724389
"ELEC",30.062673,-94.13326
"ELEC",32.837994,-97.162032
"ELEC",30.639236,-96.306609
"ELEC",27.731173,-97.416138
"ELEC",32.6465507,-96.8638412
"ELEC",33.775328,-96.58308
"ELEC",31.7844759,-106.4173196
"ELEC",31.724949,-106.300771
"ELEC",32.926806,-96.82808
"ELEC",32.7219,-97.4784
"ELEC",32.9277067,-97.094121
"ELEC",26.186048,-97.734442
"ELEC",29.906473,-95.604356
"ELEC",29.676733,-95.422226
"ELEC",29.625531,-95.224813
"ELEC",29.785494,-95.60022
"ELEC",29.992027,-95.423345
"ELEC",30.0117918,-95.4279194
"ELEC",32.835712,-96.926759
"ELEC",29.7751749,-95.8168866
"ELEC",31.0785389,-97.6927806
"ELEC",27.492086,-97.84753
"ELEC",27.5293839,-99.4587807
"ELEC",29.485334,-95.10187
"ELEC",33.023006,-96.98877
"ELEC",32.5095521,-94.7489211
"ELEC",33.535048,-101.958266
"ELEC",33.1602173,-96.6465734
"ELEC",32.829375,-96.629887
"ELEC",32.024168,-102.151831
"ELEC",29.953433,-94.0071
"ELEC",32.9715463,-96.7195557
"ELEC",29.5350253,-95.7735103
"ELEC",30.54205,-97.69265
"ELEC",31.4517704,-100.4890027
"ELEC",29.543147,-98.57544
"ELEC",29.520177,-98.5025326
"ELEC",29.457057,-98.624749
"ELEC",29.556508,-98.34469
"ELEC",30.4963137,-97.6809454
"ELEC",30.314894,-94.18396
"ELEC",29.6456829,-95.57636
"ELEC",31.0797111,-97.4104286
"ELEC",32.312443,-95.3413626
"ELEC",28.851484,-96.998051
"ELEC",31.495172,-97.160258
"ELEC",32.7556923,-97.705221
"ELEC",33.8799108,-98.5458685
"ELEC",38.809047,-77.12195
"ELEC",38.8994005,-77.4621997
"ELEC",38.086121,-78.474663
"ELEC",38.8530341,-77.3244478
"ELEC",37.0422664,-76.3885183
"ELEC",38.760497,-77.459159
"ELEC",37.1756947,-77.3525337
"ELEC",37.5605927,-77.465683
"ELEC",37.346141,-79.962295
"ELEC",39.010226,-77.437947
"ELEC",38.926193,-77.241646
"ELEC",39.156528,-78.147364
"ELEC",47.33877,-122.221
"ELEC",48.7564197,-122.4542191
"ELEC",47.562216,-122.684539
"ELEC",47.4590583,-122.3339114
"ELEC",47.7796657,-122.3460124
"ELEC",47.9024565,-122.2463661
"ELEC",47.2419472,-122.3730156
"ELEC",46.125628,-122.928321
"ELEC",47.031008,-122.929797
"ELEC",46.2359296,-119.1279814
"ELEC",48.102884,-123.342597
"ELEC",47.2071047,-122.2958044
"ELEC",47.6743736,-122.1271667
"ELEC",47.448281,-122.219286
"ELEC",47.609412,-122.335219
"ELEC",47.7392473,-117.4113472
"ELEC",47.6572658,-117.312485
"ELEC",47.219726,-122.485672
"ELEC",45.648181,-122.59837
